DataYear,ZipCode,BuildingType,Electricity(kWh)
2015,98101,Campus,26590125.0
2015,98101,Multifamily HR (10+),68619100.0
2015,98101,Multifamily LR (1-4),3110103.0
2015,98101,Multifamily MR (5-9),16200779.0
2015,98101,NonResidential,510131508.0
2015,98101,Nonresidential COS,8588963.0
2015,98102,Multifamily HR (10+),4218597.0
2015,98102,Multifamily LR (1-4),16263938.0
2015,98102,Multifamily MR (5-9),18447228.0
2015,98102,NonResidential,40624847.0
2015,98102,SPS-District K-12,869747.0
2015,98103,Campus,9725151.0
2015,98103,Multifamily HR (10+),2071839.0
2015,98103,Multifamily LR (1-4),19532690.0
2015,98103,Multifamily MR (5-9),8952114.0
2015,98103,NonResidential,35782330.0
2015,98103,Nonresidential COS,2223443.0
2015,98103,SPS-District K-12,1690793.0
2015,98104,Campus,50420018.0
2015,98104,Multifamily HR (10+),30046792.0
2015,98104,Multifamily LR (1-4),8104479.0
2015,98104,Multifamily MR (5-9),22841845.0
2015,98104,NonResidential,298903692.0
2015,98104,Nonresidential COS,34411298.0
2015,98105,Campus,33629360.0
2015,98105,Multifamily HR (10+),3126445.0
2015,98105,Multifamily LR (1-4),18196830.0
2015,98105,Multifamily MR (5-9),17154909.0
2015,98105,NonResidential,64439670.0
2015,98105,Nonresidential COS,271567.0
2015,98105,Nonresidential WA,20102519.0
2015,98105,SPS-District K-12,661698.0
2015,98106,Campus,7293375.0
2015,98106,Multifamily LR (1-4),10695431.0
2015,98106,Multifamily MR (5-9),3890085.0
2015,98106,NonResidential,9671626.0
2015,98106,Nonresidential COS,1029444.0
2015,98106,SPS-District K-12,4231688.0
2015,98107,Campus,9469708.0
2015,98107,Multifamily LR (1-4),5963978.0
2015,98107,Multifamily MR (5-9),21637462.0
2015,98107,NonResidential,27261072.0
2015,98107,Nonresidential COS,1398283.0
2015,98107,SPS-District K-12,518178.0
2015,98108,Campus,15103647.0
2015,98108,Multifamily LR (1-4),3575966.0
2015,98108,NonResidential,41372307.0
2015,98108,Nonresidential COS,517709.0
2015,98108,Nonresidential WA,182708.0
2015,98108,SPS-District K-12,2461656.0
2015,98109,Multifamily HR (10+),5828519.0
2015,98109,Multifamily LR (1-4),20893871.0
2015,98109,Multifamily MR (5-9),35006432.0
2015,98109,NonResidential,240998627.0
2015,98109,Nonresidential COS,11459828.0
2015,98109,SPS-District K-12,751354.0
2015,98112,Campus,14551449.0
2015,98112,Multifamily HR (10+),3773380.0
2015,98112,Multifamily LR (1-4),9310123.0
2015,98112,Multifamily MR (5-9),1689386.0
2015,98112,NonResidential,9478781.0
2015,98112,SPS-District K-12,482627.0
2015,98115,Campus,931897.0
2015,98115,Multifamily HR (10+),1078704.0
2015,98115,Multifamily LR (1-4),18984546.0
2015,98115,Multifamily MR (5-9),6728644.0
2015,98115,NonResidential,24905014.0
2015,98115,Nonresidential COS,3804667.0
2015,98115,Nonresidential WA,2615758.0
2015,98115,SPS-District K-12,4881614.0
2015,98116,Multifamily LR (1-4),9626861.0
2015,98116,Multifamily MR (5-9),12076196.0
2015,98116,NonResidential,10401225.0
2015,98116,SPS-District K-12,2747944.0
2015,98117,Multifamily LR (1-4),2664460.0
2015,98117,Multifamily MR (5-9),2108596.0
2015,98117,NonResidential,8210198.0
2015,98117,Nonresidential COS,194997.0
2015,98117,SPS-District K-12,4077396.0
2015,98118,Campus,14022240.0
2015,98118,Multifamily LR (1-4),17125748.0
2015,98118,Multifamily MR (5-9),3990567.0
2015,98118,NonResidential,20351651.0
2015,98118,Nonresidential COS,2216684.0
2015,98118,Nonresidential WA,154439.0
2015,98118,SPS-District K-12,6017435.0
2015,98119,Campus,15719185.0
2015,98119,Multifamily HR (10+),3796257.0
2015,98119,Multifamily LR (1-4),12647103.0
2015,98119,Multifamily MR (5-9),12518351.0
2015,98119,NonResidential,63940347.0
2015,98119,Nonresidential COS,267992.0
2015,98119,SPS-District K-12,932066.0
2015,98121,Campus,4371882.0
2015,98121,Multifamily HR (10+),54419181.0
2015,98121,Multifamily LR (1-4),3268939.0
2015,98121,Multifamily MR (5-9),36407509.0
2015,98121,NonResidential,223699855.0
2015,98121,Nonresidential COS,531446.0
2015,98122,Campus,80736598.0
2015,98122,Multifamily HR (10+),1148546.0
2015,98122,Multifamily LR (1-4),16824904.0
2015,98122,Multifamily MR (5-9),26626246.0
2015,98122,NonResidential,42888317.0
2015,98122,Nonresidential COS,2141007.0
2015,98122,SPS-District K-12,3804064.0
2015,98125,Campus,4943321.0
2015,98125,Multifamily LR (1-4),33002141.0
2015,98125,Multifamily MR (5-9),19846984.0
2015,98125,NonResidential,34323006.0
2015,98125,Nonresidential COS,1009404.0
2015,98125,SPS-District K-12,2396186.0
2015,98126,Multifamily LR (1-4),8019543.0
2015,98126,Multifamily MR (5-9),7205142.0
2015,98126,NonResidential,13787239.0
2015,98126,Nonresidential COS,831334.0
2015,98126,SPS-District K-12,1091466.0
2015,98133,Campus,12432580.0
2015,98133,Multifamily HR (10+),2123557.0
2015,98133,Multifamily LR (1-4),22278681.0
2015,98133,Multifamily MR (5-9),9936328.0
2015,98133,NonResidential,36099442.0
2015,98133,Nonresidential COS,481089.0
2015,98133,SPS-District K-12,1624959.0
2015,98134,Campus,26740486.0
2015,98134,Multifamily LR (1-4),994799.0
2015,98134,NonResidential,135565116.0
2015,98134,Nonresidential COS,12977535.0
2015,98134,Nonresidential WA,592628.0
2015,98134,SPS-District K-12,5468026.0
2015,98136,Multifamily LR (1-4),5731449.0
2015,98136,Multifamily MR (5-9),1606415.0
2015,98136,NonResidential,1971095.0
2015,98136,SPS-District K-12,336785.0
2015,98144,Multifamily HR (10+),1512129.0
2015,98144,Multifamily LR (1-4),10356025.0
2015,98144,Multifamily MR (5-9),9360522.0
2015,98144,NonResidential,27887130.0
2015,98144,Nonresidential COS,529328.0
